file,lambda_nm,z_um
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-90\tif\1_666.tiff,666,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-90\1_666.tiff,666,-90.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-80\tif\1_666.tiff,666,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-80\1_666.tiff,666,-80.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-70\tif\1_666.tiff,666,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-70\1_666.tiff,666,-70.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-60\tif\1_666.tiff,666,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-60\1_666.tiff,666,-60.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-50\tif\1_666.tiff,666,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-50\1_666.tiff,666,-50.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-40\tif\1_666.tiff,666,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-40\1_666.tiff,666,-40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-30\tif\1_666.tiff,666,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-30\1_666.tiff,666,-30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-20\tif\1_666.tiff,666,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-20\1_666.tiff,666,-20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\-10\tif\1_666.tiff,666,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after-10\1_666.tiff,666,-10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\0\tif\1_666.tiff,666,0.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\afterfokus\1_666.tiff,666,1.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+10\tif\1_666.tiff,666,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+10\1_666.tiff,666,10.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+20\tif\1_666.tiff,666,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+20\1_666.tiff,666,20.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+30\tif\1_666.tiff,666,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+30\1_666.tiff,666,30.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\+40\tif\1_666.tiff,666,40.0
C:\Users\xxdew\OneDrive\Desktop\научка\Мира 19.06.2024 обработанная\1\after+40\1_666.tiff,666,40.0
